proposal,fitness,cycle_time,temperature
"[[66, 86], [97, 23], [96, 96], [54, 45], [54, 28], [35, 27], [65, 32], [66, 26], [55, 20], [94, 72]]",0.7415341762172134,7.873994827270508,1.0
"[[86, 14], [67, 33], [71, 64], [93, 91], [35, 64], [19, 35], [45, 51], [21, 66], [70, 95], [69, 51]]",1.748007175812819,16.42386031150818,0.95
"[[65, 43], [70, 63], [34, 49], [18, 1], [28, 15], [95, 50], [36, 66], [31, 3], [93, 34], [16, 56]]",1.8388598192080363,27.735560655593872,0.9025
"[[69, 34], [52, 94], [47, 40], [18, 38], [62, 17], [100, 42], [89, 39], [52, 78], [45, 8], [93, 7]]",1.8672689078985978,42.5500009059906,0.8573749999999999
"[[69, 34], [51, 94], [47, 40], [18, 38], [62, 17], [100, 42], [89, 39], [52, 78], [45, 8], [93, 7]]",1.8811362060089167,57.01121234893799,0.8145062499999999
"[[69, 34], [50, 94], [47, 40], [18, 38], [62, 17], [100, 42], [89, 39], [52, 78], [45, 8], [93, 7]]",1.895574078645569,71.43991780281067,0.7737809374999999
"[[26, 86], [70, 57], [39, 68], [49, 15], [44, 6], [47, 75], [22, 61], [78, 33], [70, 18], [55, 44]]",1.790231228619815,86.24055027961731,0.7350918906249998
"[[26, 86], [70, 57], [39, 68], [49, 15], [44, 6], [47, 75], [22, 60], [78, 33], [70, 18], [55, 44]]",1.8046324296048464,101.24817132949829,0.6983372960937497
"[[26, 86], [70, 57], [39, 68], [49, 15], [44, 6], [47, 75], [22, 59], [78, 33], [70, 18], [55, 44]]",1.8189305088636831,116.22242307662964,0.6634204312890623
"[[53, 32], [32, 5], [81, 88], [70, 42], [55, 44], [63, 15], [95, 72], [46, 6], [30, 89], [91, 9]]",1.359249758225157,131.02859807014465,0.6302494097246091
"[[53, 32], [31, 5], [81, 88], [70, 42], [55, 44], [63, 15], [95, 72], [46, 6], [30, 89], [91, 9]]",1.376855562071428,145.49961304664612,0.5987369392383786
"[[53, 32], [30, 5], [81, 88], [70, 42], [55, 44], [63, 15], [95, 72], [46, 6], [30, 89], [91, 9]]",1.393195174873949,159.96362733840942,0.5688000922764596
"[[98, 91], [40, 28], [89, 78], [50, 64], [81, 96], [63, 39], [77, 28], [48, 50], [75, 90], [24, 9]]",1.2371915834529799,174.8410840034485,0.5403600876626365
"[[98, 91], [40, 28], [89, 78], [49, 64], [81, 96], [63, 39], [77, 28], [48, 50], [75, 90], [24, 9]]",1.2556835066900245,189.28570675849915,0.5133420832795047
"[[98, 91], [40, 28], [89, 78], [48, 64], [81, 96], [63, 39], [77, 28], [48, 50], [75, 90], [24, 9]]",1.2724667730054935,203.7353391647339,0.48767497911552943
"[[98, 91], [40, 28], [89, 78], [47, 64], [81, 96], [63, 39], [77, 28], [48, 50], [75, 90], [24, 9]]",1.2882021167151547,218.1631155014038,0.46329123015975293
"[[98, 91], [40, 28], [89, 78], [46, 64], [81, 96], [63, 39], [77, 28], [48, 50], [75, 90], [24, 9]]",1.3028762768038298,232.9633297920227,0.44012666865176525
"[[28, 58], [63, 77], [17, 67], [40, 85], [30, 70], [68, 90], [61, 74], [76, 0], [53, 27], [68, 51]]",1.4199903577855801,247.447203874588,0.41812033521917696
"[[28, 57], [63, 77], [17, 67], [40, 85], [30, 70], [68, 90], [61, 74], [76, 0], [53, 27], [68, 51]]",1.4356005153302331,262.2909073829651,0.3972143184582181
"[[28, 56], [63, 77], [17, 67], [40, 85], [30, 70], [68, 90], [61, 74], [76, 0], [53, 27], [68, 51]]",1.45230432513211,277.05733466148376,0.37735360253530714
"[[71, 29], [98, 28], [38, 24], [57, 21], [79, 53], [78, 88], [85, 37], [46, 4], [98, 25], [59, 72]]",0.8141605468791854,291.5013406276703,0.35848592240854177
"[[95, 72], [95, 54], [47, 51], [77, 41], [73, 75], [19, 38], [60, 16], [58, 45], [32, 68], [81, 83]]",1.7763769192129015,305.9235737323761,0.34056162628811465
"[[90, 91], [76, 32], [96, 41], [16, 82], [18, 60], [94, 51], [96, 65], [44, 28], [74, 2], [99, 50]]",1.1497525474882415,320.48516726493835,0.3235335449737089
"[[62, 65], [60, 57], [50, 19], [20, 16], [78, 36], [84, 65], [42, 14], [74, 87], [95, 6], [16, 66]]",1.698069617859233,335.3262176513672,0.30735686772502346
"[[62, 65], [59, 57], [50, 19], [20, 16], [78, 36], [84, 65], [42, 14], [74, 87], [95, 6], [16, 66]]",1.7073246246280904,349.74929881095886,0.2919890243387723
"[[62, 65], [58, 57], [50, 19], [20, 16], [78, 36], [84, 65], [42, 14], [74, 87], [95, 6], [16, 66]]",1.7171342384311608,364.17672419548035,0.27738957312183365
"[[62, 65], [57, 57], [50, 19], [20, 16], [78, 36], [84, 65], [42, 14], [74, 87], [95, 6], [16, 66]]",1.7272460792028306,378.6603708267212,0.263520094465742
"[[38, 68], [56, 96], [17, 95], [66, 81], [68, 56], [78, 61], [76, 43], [96, 7], [78, 60], [41, 67]]",0.5143950254917699,393.1972222328186,0.25034408974245487
"[[79, 69], [26, 97], [61, 88], [23, 42], [52, 98], [90, 30], [65, 90], [20, 22], [81, 64], [66, 69]]",1.3916609478471427,407.6900899410248,0.2378268852553321
"[[66, 49], [94, 15], [64, 86], [30, 69], [58, 49], [26, 75], [28, 5], [40, 33], [55, 83], [19, 2]]",2.0540428523388465,422.507292509079,0.2259355409925655
"[[66, 49], [94, 15], [64, 86], [30, 69], [58, 49], [26, 75], [28, 5], [39, 33], [55, 83], [19, 2]]",2.065560663502234,437.3817195892334,0.2146387639429372
