iteration,proposal,fitness,cycle_time
1,"[[-5, 24], [44, 16], [43, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.204338682312141,12.11937665939331
1,"[[15, 24], [44, 16], [43, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.2020115091430785,12.119378328323364
1,"[[5, 14], [44, 16], [43, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.179834917767309,12.119378805160522
1,"[[5, 34], [44, 16], [43, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.0517850269719764,12.11937928199768
1,"[[5, 24], [34, 16], [43, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.1604570871723676,12.119379758834839
1,"[[5, 24], [54, 16], [43, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-1.992155246309403,12.119380474090576
1,"[[5, 24], [44, 6], [43, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.1708000101697724,12.119380712509155
1,"[[5, 24], [44, 26], [43, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.078205381591169,12.119381427764893
1,"[[5, 24], [44, 16], [33, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-1.8679749736972147,12.11938214302063
1,"[[5, 24], [44, 16], [53, 70], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-1.642510056581239,12.119382858276367
1,"[[5, 24], [44, 16], [43, 60], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.0498915410401506,12.119383335113525
1,"[[5, 24], [44, 16], [43, 80], [33, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.187753040838597,12.119383811950684
1,"[[5, 24], [44, 16], [43, 70], [23, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.060884356998958,12.119384288787842
1,"[[5, 24], [44, 16], [43, 70], [43, 95], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.169193782433083,12.119385004043579
1,"[[5, 24], [44, 16], [43, 70], [33, 85], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.2074913988441622,12.119385480880737
1,"[[5, 24], [44, 16], [43, 70], [33, 105], [35, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.303978197415183,12.119385957717896
1,"[[5, 24], [44, 16], [43, 70], [33, 95], [25, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.1265575078312735,12.119386672973633
1,"[[5, 24], [44, 16], [43, 70], [33, 95], [45, 7], [13, 28], [44, 24], [46, 69], [30, 51], [49, 5]]",-2.2427482190675625,12.11938738822937
