proposal,fitness,cycle_time
"[[33, 28.127532975922932], [34, 73.30467073233055], [36, 31.187617331228246], [26, 85.52950595054669], [19, 69.25656957042334], [39, 24.64218075573048], [28, 65.26249575218394], [53, 11.934341754129573], [39, 87.27865084294876], [50, 55.07486922660285]]",2.2570038142723674,0.34890031814575195
"[[53, 9.509673907188077], [42, 92.9315042487458], [37, 50.154838685990335], [27, 58.18815788739714], [33, 36.460767075389924], [38, 23.117978673043616], [31, 82.11356628047977], [29, 82.14367555716154], [34, 94.5599680825878], [17, 20.393147513219056]]",1.6404992404473062,0.3218073844909668
"[[38, 13.156357420956144], [39, 50.06485554256987], [38, 23.04603457281784], [32, 49.80410890379899], [42, 19.753502010440393], [42, 93.09494450779647], [36, 25.116700859808983], [18, 31.26841853695035], [23, 59.831603757367716], [24, 37.64800016162325]]",1.3428195344395149,0.3423020839691162
"[[32, 5.320909459556766], [52, 67.50452351151704], [52, 81.15085951353983], [48, 53.805511564577436], [21, 31.52241513679317], [21, 60.70427219102367], [32, 8.058183795995365], [18, 17.545873142020696], [29, 1.8843355222345148], [45, 65.65617925450515]]",1.8234323265041983,0.4011530876159668
"[[16, 82.07830995045651], [42, 40.84344908923173], [49, 94.07068907359489], [37, 58.3207045183174], [19, 37.82646326250011], [32, 25.81437007200812], [22, 38.60717723780313], [30, 93.95232967118902], [36, 26.68383998425261], [35, 10.3546296135568]]",1.9479492091563846,0.3207120895385742
"[[34, 40.31608856939823], [28, 44.89284577453652], [43, 3.4595139334199887], [21, 37.36983254305453], [35, 79.84861053877054], [22, 29.08692377442503], [24, 77.10290352990151], [44, 92.56939612143127], [26, 55.99908960318049], [41, 60.997056640076075]]",1.2946134716794935,0.3636307716369629
"[[39, 20.943436276537497], [19, 43.38811084543818], [53, 67.93937171120494], [23, 4.3108472741339], [36, 90.48128943867472], [51, 22.234024203914615], [46, 81.50706613582173], [23, 22.88246170799486], [50, 43.08814160907535], [45, 66.63756648599941]]",2.2799114928454083,0.3975517749786377
"[[25, 8.917324437370455], [19, 70.92560312371035], [26, 17.74421192620522], [23, 23.833360317488893], [25, 76.7501127696107], [37, 43.6196362087818], [36, 55.606705834276006], [18, 15.760354484766136], [50, 56.524264123706104], [22, 44.17196872119573]]",1.571584524895509,0.425584077835083
"[[31, 36.68506444457407], [39, 57.97481193195458], [35, 13.429204689065322], [45, 5.527014181042523], [25, 19.26815951788563], [49, 96.71429759581423], [30, 60.230791438841024], [39, 18.488604015931443], [39, 64.64600977042436], [23, 59.67722418741417]]",1.2714970514174813,0.3527946472167969
"[[50, 84.81580434373109], [53, 94.54238660781445], [25, 76.31359406909218], [34, 45.540843079241135], [29, 71.8270809431812], [48, 25.342008006752003], [51, 38.58700930336766], [36, 63.1153535785991], [53, 30.7578136759857], [52, 45.71695241273655]]",2.035894021873437,0.35864901542663574
"[[45, 67.45386772739279], [16, 5.110805297814899], [16, 53.507504234987806], [16, 1.3682826089431037], [53, 98.88330939926644], [53, 0.10356243386324593], [50, 99.4189656555742], [26, 43.794286859846466], [47, 31.88287239675274], [34, 98.46411649538283]]",1.8825824358696108,0.28998398780822754
"[[40, 28.012182173206856], [26, 19.107832093447914], [46, 36.20727226704501], [16, 96.0479036405749], [42, 94.54053861094695], [30, 1.5428301300881486], [44, 78.63550561528378], [53, 1.935904592576545], [44, 87.15465955650453], [49, 88.77375503637084]]",1.791563318373025,0.25812745094299316
"[[26, 56.49026891372904], [29, 25.67028055204127], [25, 70.98728854611508], [26, 92.93065662216316], [42, 63.102785691532304], [44, 57.09635014162164], [41, 92.51830971949506], [53, 0.03875111164151157], [42, 78.06446760986854], [53, 72.11091720800934]]",2.126338126455787,0.25310468673706055
"[[42, 24.3865041410445], [22, 77.53591235948936], [16, 35.98865001456902], [20, 76.02180858107165], [16, 56.79750578621054], [53, 10.408254953713406], [17, 69.51914351806109], [45, 33.82619517738124], [53, 41.74501277174916], [41, 82.10471594380675]]",2.1380288909682275,0.23426604270935059
"[[47, 50.499912750320256], [33, 84.2056075081014], [42, 63.76563929050973], [29, 78.59955580470819], [37, 91.24094988339618], [27, 44.48377567952113], [44, 92.68896266527949], [24, 5.9670295885951035], [32, 8.020951286795288], [48, 29.130478702692397]]",1.5649872320653573,0.2376537322998047
"[[27, 24.02573366013119], [49, 28.092688429040393], [30, 99.84636252705056], [38, 19.443386823987808], [53, 1.4038918327634917], [43, 74.1763886734017], [25, 65.74111954277276], [47, 61.69103411526794], [47, 73.73046439560659], [42, 74.01076568296813]]",1.644932378490307,0.25345778465270996
