iteration,proposal,fitness,cycle_time,temperature
2,"[[0, 73], [42, 11], [32, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.608538176003191,8.525272130966187,0.9216
2,"[[2, 73], [42, 11], [32, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.605663432676701,8.52527403831482,0.9216
2,"[[1, 72], [42, 11], [32, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.605800325216059,8.525274276733398,0.9216
2,"[[1, 74], [42, 11], [32, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.607990605845764,8.525274753570557,0.9216
2,"[[1, 73], [41, 11], [32, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.609967829324653,8.525275468826294,0.9216
2,"[[1, 73], [43, 11], [32, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.604096385382995,8.525276184082031,0.9216
2,"[[1, 73], [42, 10], [32, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.601492747854589,8.52527642250061,0.9216
2,"[[1, 73], [42, 12], [32, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.612255933779568,8.525277137756348,0.9216
2,"[[1, 73], [42, 11], [31, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.609188705912457,8.525277614593506,0.9216
2,"[[1, 73], [42, 11], [33, 74], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.600686370729776,8.525278091430664,0.9216
2,"[[1, 73], [42, 11], [32, 73], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.592138196977488,8.525278568267822,0.9216
2,"[[1, 73], [42, 11], [32, 75], [29, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.613017996174342,8.52527904510498,0.9216
2,"[[1, 73], [42, 11], [32, 74], [28, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.607754689136081,8.525279521942139,0.9216
2,"[[1, 73], [42, 11], [32, 74], [30, 27], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.6047697578413045,8.525279760360718,0.9216
2,"[[1, 73], [42, 11], [32, 74], [29, 26], [26, 22], [17, 8], [11, 76], [49, 23], [10, 0], [31, 95]]",-6.617250154020608,8.525280237197876,0.9216
