iteration,proposal,fitness,cycle_time
1,"[[35, 44], [42, 15], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 3]]",1.9997696536232836,11.953899621963501
1,"[[35, 44], [42, 15], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 23]]",1.9909984859720495,11.95389986038208
2,"[[25, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.516592487572674,11.824943780899048
2,"[[45, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.3865320606923985,11.824944972991943
2,"[[35, 34], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.277002579617571,11.82494568824768
2,"[[35, 54], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.345300796292629,11.824946165084839
2,"[[35, 44], [32, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.349532399841683,11.824946641921997
2,"[[35, 44], [52, 15], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.4516666789780155,11.824947118759155
2,"[[35, 44], [42, 5], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.3844029252048258,11.82494831085205
2,"[[35, 44], [42, 25], [50, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.3463838714364806,11.824949026107788
2,"[[35, 44], [42, 15], [40, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.0358621606942684,11.824949502944946
2,"[[35, 44], [42, 15], [60, 93], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.315641934643596,11.824949979782104
2,"[[35, 44], [42, 15], [50, 83], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.3315665325675456,11.824950456619263
2,"[[35, 44], [42, 15], [50, 103], [22, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.0478137886435612,11.824950933456421
2,"[[35, 44], [42, 15], [50, 93], [12, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.3095090416562334,11.824951410293579
2,"[[35, 44], [42, 15], [50, 93], [32, 8], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.3082615699554596,11.824951887130737
2,"[[35, 44], [42, 15], [50, 93], [22, -2], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.3492141475223014,11.824952602386475
2,"[[35, 44], [42, 15], [50, 93], [22, 18], [29, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.413990414890194,11.824953079223633
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [19, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.5463905278691357,11.824953556060791
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [39, 22], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.29338047402445,11.82495403289795
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 12], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.307206620499467,11.824954986572266
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 32], [18, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.5641690342554164,11.824955940246582
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [8, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",-1.6208728099466638,11.82495641708374
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [28, 74], [31, 64], [36, 26], [41, 21], [52, 13]]",2.278152405048613,11.824956893920898
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 64], [31, 64], [36, 26], [41, 21], [52, 13]]",2.308742575308889,11.824957370758057
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 84], [31, 64], [36, 26], [41, 21], [52, 13]]",2.4779893867585816,11.824957847595215
2,"[[35, 44], [42, 15], [50, 93], [22, 8], [29, 22], [18, 74], [21, 64], [36, 26], [41, 21], [52, 13]]",2.3955558456927966,11.824958324432373
