iteration,proposal,fitness,cycle_time,temperature
7,"[[24, -1], [52, 53], [24, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.7855582945280781,14.39627718925476,0.7514474781081599
7,"[[26, -1], [52, 53], [24, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.7878515443281633,14.396278381347656,0.7514474781081599
7,"[[25, -2], [52, 53], [24, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.807496476169753,14.396278858184814,0.7514474781081599
7,"[[25, 0], [52, 53], [24, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.8059242695635824,14.396279335021973,0.7514474781081599
7,"[[25, -1], [51, 53], [24, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.7905081380010912,14.39628005027771,0.7514474781081599
7,"[[25, -1], [53, 53], [24, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.8010453768225367,14.396281003952026,0.7514474781081599
7,"[[25, -1], [52, 52], [24, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.794540225426676,14.396281480789185,0.7514474781081599
7,"[[25, -1], [52, 54], [24, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.699767236368293,14.396281957626343,0.7514474781081599
7,"[[25, -1], [52, 53], [23, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.797208992530795,14.39628267288208,0.7514474781081599
7,"[[25, -1], [52, 53], [25, 17], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.6887151920881749,14.396283626556396,0.7514474781081599
7,"[[25, -1], [52, 53], [24, 16], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.807819093878524,14.396284341812134,0.7514474781081599
7,"[[25, -1], [52, 53], [24, 18], [58, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.8019497720673932,14.396285057067871,0.7514474781081599
7,"[[25, -1], [52, 53], [24, 17], [57, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.7974684814556972,14.39628553390503,0.7514474781081599
7,"[[25, -1], [52, 53], [24, 17], [59, 32], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.7979166105168667,14.396286010742188,0.7514474781081599
7,"[[25, -1], [52, 53], [24, 17], [58, 31], [67, 104], [42, 65], [66, 53], [58, 30], [62, 48], [18, 56]]",1.798588804108621,14.396286487579346,0.7514474781081599
