iteration,proposal,fitness,cycle_time,temperature
2,"[[55, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.247877423777608,7.4428064823150635,0.9216
2,"[[57, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2399719582112203,7.442807197570801,0.9216
2,"[[56, 79], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.235894417047865,7.442807674407959,0.9216
2,"[[56, 81], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.251947741583022,7.442807912826538,0.9216
2,"[[56, 80], [25, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2405908330753324,7.442808628082275,0.9216
2,"[[56, 80], [27, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.246979904440045,7.442809104919434,0.9216
2,"[[56, 80], [26, 83], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.242860777464055,7.442809343338013,0.9216
2,"[[56, 80], [26, 85], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.248847805325348,7.442809820175171,0.9216
2,"[[56, 80], [26, 84], [51, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2500815458334116,7.44281005859375,0.9216
2,"[[56, 80], [26, 84], [53, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.236982770992544,7.442810773849487,0.9216
2,"[[56, 80], [26, 84], [52, 8], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2495682220470394,7.4428112506866455,0.9216
2,"[[56, 80], [26, 84], [52, 10], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.238283686694599,7.442812204360962,0.9216
2,"[[56, 80], [26, 84], [52, 9], [59, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2452963957796186,7.442812442779541,0.9216
2,"[[56, 80], [26, 84], [52, 9], [61, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2430557504737703,7.44281268119812,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 62], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2452963957796186,7.442813158035278,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 64], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2428316859431856,7.442813396453857,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [43, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.242222010416122,7.442814350128174,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [45, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2454353499176287,7.442815065383911,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 53], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2511374907062423,7.442815542221069,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 55], [81, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.145256438034477,7.442815780639648,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [80, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2441760731266944,7.442816257476807,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [82, 34], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2441760731266944,7.442816495895386,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 33], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2441760731266944,7.442816734313965,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 35], [19, 58], [52, 29], [46, 63], [36, 7]]",2.2441760731266944,7.442817211151123,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [18, 58], [52, 29], [46, 63], [36, 7]]",2.252527603826997,7.442817449569702,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [20, 58], [52, 29], [46, 63], [36, 7]]",2.234274943460229,7.4428184032440186,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 57], [52, 29], [46, 63], [36, 7]]",2.2571484533173027,7.442819118499756,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 59], [52, 29], [46, 63], [36, 7]]",2.2311906906907,7.442819595336914,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [51, 29], [46, 63], [36, 7]]",2.2525555684964247,7.442819833755493,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [53, 29], [46, 63], [36, 7]]",2.2398159634429455,7.442820072174072,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 28], [46, 63], [36, 7]]",2.151952698336626,7.4428205490112305,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 30], [46, 63], [36, 7]]",2.245399528828944,7.44282078742981,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [45, 63], [36, 7]]",2.2485057689419956,7.442821025848389,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [47, 63], [36, 7]]",2.2437279440655247,7.442821502685547,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 62], [36, 7]]",2.2435038795349396,7.442821741104126,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 64], [36, 7]]",2.244848266718449,7.442822694778442,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [35, 7]]",2.149358494225498,7.442823171615601,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [37, 7]]",2.2383996208741506,7.44282341003418,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 6]]",2.1452397271102366,7.442823886871338,0.9216
2,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 58], [52, 29], [46, 63], [36, 8]]",2.246855192782215,7.442824125289917,0.9216
5,"[[55, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.2842830067311586,14.668512344360352,0.8153726976
5,"[[57, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.276377541164771,14.668513536453247,0.8153726976
5,"[[56, 79], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.2723000000014153,14.668514251708984,0.8153726976
5,"[[56, 81], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.2883533245365726,14.668514728546143,0.8153726976
5,"[[56, 80], [25, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.2776109218929994,14.66851544380188,0.8153726976
5,"[[56, 80], [27, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.283161422863011,14.668515920639038,0.8153726976
5,"[[56, 80], [26, 83], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.279714489478775,14.668517589569092,0.8153726976
5,"[[56, 80], [26, 85], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.2850293237483132,14.668518304824829,0.8153726976
5,"[[56, 80], [26, 84], [51, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.2864871287869617,14.668519258499146,0.8153726976
5,"[[56, 80], [26, 84], [53, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.2733883539460944,14.668519735336304,0.8153726976
5,"[[56, 80], [26, 84], [52, 8], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.28597380500059,14.668520450592041,0.8153726976
5,"[[56, 80], [26, 84], [52, 10], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.274689269648149,14.668521165847778,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [59, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.281701978733169,14.668521642684937,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [61, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.279461333427321,14.668522119522095,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 62], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.281701978733169,14.668522834777832,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 64], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.279237268896736,14.66852331161499,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [43, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.2786275933696727,14.668524265289307,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [45, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.281840932871179,14.668524742126465,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 53], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.2875430736597924,14.66852617263794,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 55], [81, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.181662020988027,14.668530464172363,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [80, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.280581656080245,14.66853141784668,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [82, 34], [19, 55], [52, 29], [46, 63], [36, 7]]",2.280581656080245,14.668531894683838,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 33], [19, 55], [52, 29], [46, 63], [36, 7]]",2.280581656080245,14.668532609939575,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 35], [19, 55], [52, 29], [46, 63], [36, 7]]",2.280581656080245,14.668533086776733,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [18, 55], [52, 29], [46, 63], [36, 7]]",2.2879175358839214,14.66853380203247,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [20, 55], [52, 29], [46, 63], [36, 7]]",2.2695864004100255,14.668534278869629,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.292713661444007,14.668534994125366,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 56], [52, 29], [46, 63], [36, 7]]",2.2692112323959215,14.668535709381104,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [51, 29], [46, 63], [36, 7]]",2.288961151449975,14.66853642463684,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [53, 29], [46, 63], [36, 7]]",2.276221546396496,14.668536901473999,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 28], [46, 63], [36, 7]]",2.188358281290176,14.668537378311157,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 30], [46, 63], [36, 7]]",2.2818051117824947,14.668538331985474,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [45, 63], [36, 7]]",2.2849113518955457,14.668540954589844,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [47, 63], [36, 7]]",2.2801335270190752,14.66854214668274,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 62], [36, 7]]",2.27990946248849,14.668542623519897,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 64], [36, 7]]",2.281253849671999,14.668543100357056,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [35, 7]]",2.1857640771790487,14.668543577194214,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [37, 7]]",2.274805203827701,14.668544054031372,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 6]]",2.181645310063787,14.66854476928711,0.8153726976
5,"[[56, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 55], [52, 29], [46, 63], [36, 8]]",2.2832607757357657,14.668545484542847,0.8153726976
6,"[[55, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.2964150120949207,14.724996089935303,0.782757789696
6,"[[57, 80], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.288509546528533,14.724997282028198,0.782757789696
6,"[[56, 79], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.2844320053651774,14.724997758865356,0.782757789696
6,"[[56, 81], [26, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.3004853299003347,14.724998950958252,0.782757789696
6,"[[56, 80], [25, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.294633652204495,14.72499942779541,0.782757789696
6,"[[56, 80], [27, 84], [52, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.2942723072966866,14.725000143051147,0.782757789696
6,"[[56, 80], [26, 83], [52, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.295578822852339,14.725000858306885,0.782757789696
6,"[[56, 80], [26, 85], [52, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.296140208181989,14.725001335144043,0.782757789696
6,"[[56, 80], [26, 84], [51, 9], [60, 63], [44, 54], [81, 34], [19, 54], [52, 29], [46, 63], [36, 7]]",2.2986191341507243,14.725006580352783,0.782757789696
